Altcoin,Buying Price (INR),Selling Price(INR),24 hour Change (%)
Bitcoin,1020930,885369,-3
Ethereum,101754,77107,+1
Bitcoin Cash,168628,130328,+2
Ripple,136.22,102.95,-3.84
Litecoin,18338,13822,0
NEM,102.91,74.52,-1.44
Neo,13023,9488,0
Dash,77605,60271,-3
OmiseGO,1722,1249,-2
Ethereum Classic,3045,2167,0
Qtum,4365,3221,+17
Lisk,2186,1612,-3
Monero,33878,25723,-2
Stratis,1339,968,-8
Ark,612,435,-7
Zcash,47008,36637,-3
Steem,516,369,0
TenX,260,182,0
Augur,9063,6764,+16
Golem,62.66,45.39,-6.61
Basic Attention Token,56.96,39.23,-5.71
Factom,4955,3643,-4
BitShares,38.45,26.33,+2.44
PIVX,850,629,-10
Siacoin,4.85,3.29,-1.09
Digibyte,6.18,4.24,-2.33
Civic,72.99,54.1,+0.14
Dogecoin,0.78,0.51,-3.33
NxT,31.59,21.24,-3.59
CloakCoin,2054,1456,+26
