#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$204,652,962,595",$12169.60,"16,816,737","$10,559,300,000",1.81%,-3.81%,-11.16%
2,ETHEthereum,ETH,"$107,128,835,124",$1103.08,"97,117,920","$3,459,250,000",2.38%,-1.63%,-17.49%
3,XRPRipple,XRP,"$57,298,678,740",$1.48,"38,739,142,811","$2,612,120,000",3.85%,-5.48%,-21.31%
4,BCHBitcoin Cash,BCH,"$31,593,962,674",$1866.85,"16,923,675","$1,060,260,000",2.66%,-1.36%,-27.55%
5,ADACardano,ADA,"$16,845,880,738",$0.649741,"25,927,070,538","$713,747,000",2.91%,-5.89%,-17.10%
6,LTCLitecoin,LTC,"$10,870,134,259",$198.16,"54,854,233","$485,364,000",2.10%,-2.66%,-18.32%
7,XEMNEM,XEM,"$10,104,299,999",$1.12,"8,999,999,999","$121,698,000",3.56%,-1.95%,-19.09%
8,NEONEO,NEO,"$9,261,330,000",$142.48,"65,000,000","$443,721,000",3.53%,0.02%,0.44%
9,XLMStellar,XLM,"$8,873,510,418",$0.495934,"17,892,522,831","$173,643,000",3.23%,-4.27%,-19.24%
10,EOSEOS,EOS,"$8,632,427,441",$13.98,"617,563,595","$2,978,960,000",3.58%,1.83%,-3.00%
11,MIOTAIOTA,MIOTA,"$8,104,304,241",$2.92,"2,779,530,283","$109,090,000",1.98%,-3.12%,-21.37%
12,DASHDash,DASH,"$6,768,834,528",$864.35,"7,831,136","$124,321,000",1.82%,-4.63%,-16.63%
13,XMRMonero,XMR,"$5,738,987,845",$367.22,"15,628,158","$173,471,000",2.09%,-5.99%,-9.06%
14,TRXTRON,TRX,"$5,172,568,098",$0.078672,"65,748,192,475","$621,809,000",2.35%,-5.18%,-16.77%
15,ICXICON,ICX,"$3,615,584,749",$9.51,"380,045,004","$107,891,000",2.59%,-2.98%,-2.78%
16,BTGBitcoin Gold,BTG,"$3,586,877,312",$213.80,"16,777,024","$231,405,000",1.31%,-4.18%,-31.31%
17,QTUMQtum,QTUM,"$3,417,828,541",$46.30,"73,823,496","$1,847,800,000",3.44%,11.45%,-9.01%
18,ETCEthereum Classic,ETC,"$3,216,213,256",$32.40,"99,276,872","$426,673,000",2.31%,-3.01%,-25.69%
19,LSKLisk,LSK,"$2,749,829,382",$23.46,"117,227,520","$50,003,800",2.01%,-4.72%,-15.23%
20,XRBRaiBlocks,XRB,"$2,541,617,843",$19.07,"133,248,289","$17,593,500",-0.30%,-0.08%,-11.83%
21,VENVeChain,VEN,"$2,191,538,801",$7.91,"277,162,633","$230,077,000",6.06%,8.08%,25.75%
22,OMGOmiseGO,OMG,"$1,857,562,204",$18.20,"102,042,552","$69,385,100",2.03%,-5.65%,-21.82%
23,PPTPopulous,PPT,"$1,689,914,702",$45.67,"37,004,027","$2,861,210",3.56%,-2.78%,-7.54%
24,XVGVerge,XVG,"$1,640,304,905",$0.113151,"14,496,601,043","$200,377,000",5.74%,3.74%,-20.12%
25,USDTTether,USDT,"$1,621,602,080",$1.00,"1,618,090,823","$3,192,660,000",-0.48%,-0.39%,-1.41%
26,ZECZcash,ZEC,"$1,596,126,007",$514.13,"3,104,506","$113,321,000",2.18%,-5.90%,-24.29%
27,SCSiacoin,SC,"$1,524,647,092",$0.048562,"31,396,146,174","$131,455,000",4.15%,-3.07%,-19.49%
28,BNBBinance Coin,BNB,"$1,464,040,807",$14.79,"99,014,000","$154,078,000",1.96%,-6.14%,-27.99%
29,STRATStratis,STRAT,"$1,412,657,364",$14.31,"98,709,227","$37,403,000",1.42%,-9.68%,-22.32%
30,BCNBytecoin,BCN,"$1,357,621,561",$0.007391,"183,676,579,755","$7,402,960",1.03%,-5.69%,-29.65%
